raceId,driverId,lap,position,time,milliseconds
1100,847,1,1,1:37.854,97854
1100,847,2,1,2:13.298,133298
1100,847,3,1,2:12.017,132017
1100,847,4,1,1:23.134,83134
1100,847,5,1,1:23.134,83134
1100,847,6,1,1:23.159,83159
1100,847,7,7,1:47.537,107537
1100,847,8,7,18:08.782,1088782
1100,847,9,7,3:23.766,203766
1100,847,10,5,1:29.218,89218
1100,847,11,5,1:24.617,84617
1100,847,12,5,1:23.169,83169
1100,847,13,4,1:23.705,83705
1100,847,14,4,1:23.073,83073
1100,847,15,4,1:23.079,83079
1100,847,16,4,1:22.680,82680
1100,847,17,15,1:34.488,94488
1100,1,1,2,1:40.229,100229
1100,1,2,2,2:12.287,132287
1100,1,3,2,2:11.362,131362
1100,1,4,2,1:23.295,83295
1100,1,5,2,1:23.170,83170
1100,1,6,2,1:22.890,82890
1100,1,7,1,1:34.144,94144
1100,1,8,1,2:52.330,172330
1100,1,9,1,18:14.740,1094740
1100,1,10,1,2:03.620,123620
1100,1,11,1,1:23.790,83790
1100,1,12,2,1:24.616,84616
1100,1,13,2,1:23.771,83771
1100,1,14,2,1:23.618,83618
1100,1,15,2,1:22.998,82998
1100,1,16,2,1:22.934,82934
1100,1,17,2,1:22.121,82121
1100,1,18,2,1:40.488,100488
1100,1,19,2,1:43.041,103041
1100,1,20,2,1:22.120,82120
1100,1,21,2,1:22.704,82704
1100,1,22,2,1:22.720,82720
1100,1,23,2,1:22.971,82971
1100,1,24,2,1:23.174,83174
1100,1,25,2,1:22.456,82456
1100,1,26,2,1:22.595,82595
1100,1,27,2,1:22.131,82131
1100,1,28,2,1:22.008,82008
1100,1,29,2,1:22.715,82715
1100,1,30,2,1:22.205,82205
1100,1,31,2,1:22.220,82220
1100,1,32,2,1:22.551,82551
1100,1,33,2,1:21.654,81654
1100,1,34,2,1:21.973,81973
1100,1,35,2,1:21.832,81832
1100,1,36,2,1:22.080,82080
1100,1,37,2,1:21.400,81400
1100,1,38,2,1:21.693,81693
1100,1,39,2,1:21.315,81315
1100,1,40,2,1:21.563,81563
1100,1,41,2,1:21.267,81267
1100,1,42,2,1:21.379,81379
1100,1,43,2,1:21.073,81073
1100,1,44,2,1:20.981,80981
1100,1,45,2,1:21.422,81422
1100,1,46,2,1:21.029,81029
1100,1,47,2,1:20.816,80816
1100,1,48,2,1:20.850,80850
1100,1,49,2,1:20.613,80613
1100,1,50,2,1:20.909,80909
1100,1,51,2,1:20.682,80682
1100,1,52,2,1:20.741,80741
1100,1,53,2,1:20.652,80652
1100,1,54,2,1:35.603,95603
1100,1,55,2,2:39.291,159291
1100,1,56,2,18:03.530,1083530
1100,1,57,2,2:24.440,144440
1100,1,58,2,33:31.748,2011748
1100,830,1,3,1:41.571,101571
1100,830,2,3,2:12.105,132105
1100,830,3,3,2:10.657,130657
1100,830,4,3,1:23.391,83391
1100,830,5,3,1:23.104,83104
1100,830,6,3,1:22.843,82843
1100,830,7,2,1:35.070,95070
1100,830,8,2,18:00.581,1080581
1100,830,9,2,3:41.774,221774
1100,830,10,2,1:27.827,87827
1100,830,11,2,1:23.460,83460
1100,830,12,1,1:21.994,81994
1100,830,13,1,1:23.286,83286
1100,830,14,1,1:22.869,82869
1100,830,15,1,1:22.817,82817
1100,830,16,1,1:22.599,82599
1100,830,17,1,1:22.595,82595
1100,830,18,1,1:40.315,100315
1100,830,19,1,1:43.750,103750
1100,830,20,1,1:22.389,82389
1100,830,21,1,1:22.110,82110
1100,830,22,1,1:22.269,82269
